tfbs
SOX2
FOXI1
STAT5ASTAT5B
AIRE
STAT3
RFX2
IRF7
ZBT17
MTF1
ZFAT
SOX4
THAP1
ERF
ATF3
ARNT2
CBX1
NLRC5
DBP
TBX3
HSF1
DPY30
ASH2L
NR0B2
COT2
YY1
IRF1
PAX3
MYC
NBN
HOXC9
BHE40
BCL11A
GPS2
FOXM1
FOXQ1
KDM1A
DZIP3
NKX22
HAND1
HXA1
LMX1B
TP63
VDR
SMAD3
SIN3A
PRDM4
TFEB
NR1H4
GFI1
IRF9
BARHL1
TBR1
THA11
CREBBP
STAT5
DMRT1
GABP
SMARCA4
HXB7
NR1H2
SUH
ZFP617
NFAC4
SOX3
NFAC1
BIRA
SOX9
EN1
GCR
ATRX
PAX4
PBRM1
REPIN1
KDM2B
SOX1
ELK4
DDIT3
TET2
MYF6
ELF3
CEBPA
AR
SMARCA5
TP53
ETV5
AP2A
PITX1
MLXIP
HEY2
TAF1
BRD3
HIC1
NR2F6
HNF1B
SMAD1
GLI3
REL
RAD21
NDF2
NFIC
MEF2D
STAT2
PIT1
KLF3
HOXD3
NFE2L2
TEAD1
IRF3
OVOL1
KLF12
PRD14
HNF4A
ASXL1
ZBTB17
RHOX11
NKX3-2
RNF2
NKX21
BATF3
TBP
FOSJUN
DLX1
CREB5
LEF1
PO3F2
LHX2
COE1
ZIC1
NPAS2
HHEX
FOXF1
RYBP
ATF4
VSX2
ZN335
ZBT7A
GATA4
FOXO1
SMYD2
FOXP1
ATF2
ISX
NFE2
PRDM1
TFAP4
BCL6
THAP11
RORA
PO3F1
ZEB1
TF65
PEBB
HOXA5
NKX6-1
PBX2
RORC
HMX1
TEAD2
PRD16
RFX1
BARX1
NR6A1
NF2L1
FOXC1
FOXJ3
P53
NR1D1
ELK1
SETD1A
NR2E3
NFIA
MAX
TBXT
SAP30
TERF2IP
SOX6
GFI1B
CLOCK
PDX1
HOXD9
TAF7L
HXA10
NEUROG2
ZFP961
PRDM15
DMRTB1
DLX5
BACH1MAFK
TFCP2L1
NFYA
HXB4
ELF2
RXRG
CREB3L2
ZIC2
NDF1
ZFP58
NKX31
EBF4
MYF5
DNMT3A
MECOM
SOX17
PBX3
NR1D2
SPNS1
NKX61
ELF1
JMJD6
CDX2
ZFP335
FOXO4
NKX28
RUNX2
ARNT
TFAM
XBP1
FOXN1
MYOD1
RFX3
HNF6
ZSCAN5B
SMAD2
CBX3
TF7L2
CEBPE
PPARA
MAZ
ZMIZ1
TGIF1
SHOX2
RELB
TFE2
P73
CRX
RUNX1
NOBOX
H4K5BU
RXRA
ISL1
E2F5
TCF12
HEN1
GATA2
BRD4
ZFP57
KLF8
PROP1
MEIS2
TBX6
NR4A1
NFATC2
FOXK1
FOSL2
ZFX
CUX2
SPI1
GLI2
SIX4
ITF2
ALX1
NR5A2
PBX1
OGT
ARNTHIF1A
POU2F3
ZFP456
TAL1
PAX2
ETV6
TRIM33
ESR1
PKNOX1
SMYD5
NFATC1
AICDA
BRAC
SP4
NFYB
MAFF
SPEN
KLF4
OTX2
BHLHE40
EZH2
NR2C1
HIF1A
BRD2
HOXB4
PRRX2
FAM60A
NFIL3
ARID5A
PHOX2B
KLF1
NKX2-1
MKL2
PRDM9
KLF6
DROSHA
E2F6
TCF3
BCL11B
ARNTL
ZIC1ZIC2
RORG
LYL1
FOXO3
MBD2
JUND
DLX4
KAISO
ANDR
SP1
SUV39H1
NR2F2
HXB8
ZFP683
NCOA1
MAFB
AP2C
MLLT3
MEF2C
HOXA13
NR1I3
HTF4
SP5
CBX6
EBF2
MEF2A
PO2F1
HES2
SPZ1
SRBP2
THA
NFAC3
ZFP42
INSM1
HMX2
NFE2L1
HOXB5
TWIST2
RARG
GATA3
ARI5B
MITF
ATF7
ESRRG
NFYC
ZFP281
RUNX3
NR3C1
USF2
POU5F1SOX2
KDM2A
GLI1
ASCL2
EOMES
LHX4
ESRRB
NKX2-5
PAX7
ETS2
P63
HXA13
ATF1
TFAP2C
NKX32
TCF7L2
OLIG2
FOXA1
STF1
NF2L2
CTCF
MAFA
SREBF1
NFKB1
CEBPD
ZN322
JUNB
MYB
HOXC10
HOXA9
NR1H3RXRA
MYBA
SMAD4
STAT6
